record_type,item,first_phase,phases,categories,notes
ATOMIC_FORM,salón,6A,6A,Sustantivos,
ATOMIC_FORM,se,6D,6D,Pronombres átonos,
ATOMIC_FORM,segunda,6D,6D,Ordinal,
ATOMIC_FORM,segundo,6D,6D,Ordinal,
ATOMIC_FORM,sello,6A,6A,Sustantivos,
ATOMIC_FORM,semana,6B,6B,Sustantivos,
ATOMIC_FORM,separado,6A,6A,Adjetivos,
ATOMIC_FORM,ser,6A,6A,Verbos,
ATOMIC_FORM,serio,6A,6A,Adjetivos,
ATOMIC_FORM,sexta,6D,6D,Ordinal,
ATOMIC_FORM,sexto,6D,6D,Ordinal,
ATOMIC_FORM,señor,6A,6A,Sustantivos,
ATOMIC_FORM,señora,6A,6A;6C,Sustantivos;Fórmulas/interjecciones/sustantivos funcionales,refuerzo; ya existía antes de 6C
ATOMIC_FORM,siempre,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,silencio,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,silla,6A,6A,Sustantivos,
ATOMIC_FORM,sillón,6A,6A,Sustantivos,
ATOMIC_FORM,simpático,6A,6A,Adjetivos,
ATOMIC_FORM,sin,6B,6B,Preposiciones,
ATOMIC_FORM,sinagoga,6A,6A,Sustantivos,
ATOMIC_FORM,sobre,6A,6A,Sustantivos,
ATOMIC_FORM,sobrino,6A,6A,Sustantivos,
ATOMIC_FORM,sociable,6A,6A,Adjetivos,
ATOMIC_FORM,sofá,6A,6A,Sustantivos,
ATOMIC_FORM,sol,6A,6A,Sustantivos,
ATOMIC_FORM,soltero,6A,6A,Adjetivos,
ATOMIC_FORM,sopa,6A,6A,Sustantivos,
ATOMIC_FORM,su,6D,6D,Posesivos,
ATOMIC_FORM,supermercado,6A,6A,Sustantivos,
ATOMIC_FORM,sur,6A,6A,Sustantivos,
ATOMIC_FORM,sus,6D,6D,Posesivos,
ATOMIC_FORM,sándwich,6A,6A,Sustantivos,
ATOMIC_FORM,séptima,6D,6D,Ordinal,
ATOMIC_FORM,séptimo,6D,6D,Ordinal,
ATOMIC_FORM,sí,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,también,6C,6C,Funcionales,
ATOMIC_FORM,tampoco,6C,6C,Funcionales,
ATOMIC_FORM,tarde,6B,6B,Sustantivos;Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,tarjeta,6A,6A,Sustantivos,
ATOMIC_FORM,taxi,6A,6A,Sustantivos,
ATOMIC_FORM,taxista,6A,6A,Sustantivos,
ATOMIC_FORM,teatro,6A,6A,Sustantivos,
ATOMIC_FORM,televisión,6A,6A,Sustantivos,
ATOMIC_FORM,teléfono,6A,6A,Sustantivos,
ATOMIC_FORM,temprano,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,tener,6A,6A,Verbos,
ATOMIC_FORM,tenis,6A,6A,Sustantivos,
ATOMIC_FORM,tercera,6D,6D,Ordinal,
ATOMIC_FORM,tercero,6D,6D,Ordinal,
ATOMIC_FORM,terminar,6B,6B,Verbos,
ATOMIC_FORM,terraza,6A,6A,Sustantivos,
ATOMIC_FORM,tiempo,6A,6A,Sustantivos,
ATOMIC_FORM,tienda,6A,6A,Sustantivos,
ATOMIC_FORM,tortilla,6A,6A,Sustantivos,
ATOMIC_FORM,trabajador,6A,6A,Adjetivos,
ATOMIC_FORM,trabajar,6A,6A,Verbos,
ATOMIC_FORM,trabajo,6A,6A,Sustantivos,
ATOMIC_FORM,tren,6A,6A,Sustantivos,
ATOMIC_FORM,tu,6D,6D,Posesivos,
ATOMIC_FORM,turismo,6A,6A,Sustantivos,
ATOMIC_FORM,turista,6A,6A,Sustantivos,
ATOMIC_FORM,tus,6D,6D,Posesivos,
ATOMIC_FORM,té,6A,6A,Sustantivos,
ATOMIC_FORM,tímido,6A,6A,Adjetivos,
ATOMIC_FORM,tío,6A,6A,Sustantivos,
ATOMIC_FORM,tú,6D,6D,Pronombres sujeto,
ATOMIC_FORM,un,6D,6D,Artículos/contracciones,
ATOMIC_FORM,una,6D,6D,Artículos/contracciones,
ATOMIC_FORM,unas,6D,6D,Artículos/contracciones,
ATOMIC_FORM,unidad,6A,6A,Sustantivos,
ATOMIC_FORM,universidad,6A,6A,Sustantivos,
ATOMIC_FORM,unos,6D,6D,Artículos/contracciones,
ATOMIC_FORM,usted,6D,6D,Pronombres sujeto,
ATOMIC_FORM,ustedes,6D,6D,Pronombres sujeto,
ATOMIC_FORM,vacaciones,6A,6A,Sustantivos,
ATOMIC_FORM,vaquero,6A,6A,Sustantivos,
ATOMIC_FORM,vendedor,6A,6A,Sustantivos,
ATOMIC_FORM,vender,6A,6A,Verbos,
ATOMIC_FORM,venir,6B,6B,Verbos,
ATOMIC_FORM,ventana,6A,6A,Sustantivos,
ATOMIC_FORM,ver,6A,6A,Verbos,
ATOMIC_FORM,verano,6A,6A,Sustantivos,
ATOMIC_FORM,verde,6A,6A,Adjetivos,
ATOMIC_FORM,verdura,6A,6A,Sustantivos,
ATOMIC_FORM,viajar,6A,6A,Verbos,
ATOMIC_FORM,viejo,6A,6A,Adjetivos;Adjetivos/sustantivos,
ATOMIC_FORM,viento,6A,6A,Sustantivos,
ATOMIC_FORM,vino,6A,6A,Sustantivos,
ATOMIC_FORM,viudo,6A,6A,Adjetivos,
ATOMIC_FORM,vivir,6A,6A,Verbos,
ATOMIC_FORM,volver,6B,6B,Verbos,
ATOMIC_FORM,vos,6D,6D,Pronombres sujeto,
ATOMIC_FORM,vosotras,6D,6D,Pronombres sujeto,
ATOMIC_FORM,vosotros,6D,6D,Pronombres sujeto,
ATOMIC_FORM,vuelta,6A,6A,Sustantivos,
ATOMIC_FORM,vuestra,6D,6D,Posesivos,
ATOMIC_FORM,vuestras,6D,6D,Posesivos,
ATOMIC_FORM,vuestro,6D,6D,Posesivos,
ATOMIC_FORM,vuestros,6D,6D,Posesivos,
ATOMIC_FORM,vídeo,6A,6A,Sustantivos,
ATOMIC_FORM,web,6A,6A,Sustantivos,
ATOMIC_FORM,y,6C,6C,Funcionales,
ATOMIC_FORM,yo,6C,6C,Funcionales,
ATOMIC_FORM,zapato,6A,6A,Sustantivos,
ATOMIC_FORM,árbol,6A,6A,Sustantivos,
ATOMIC_FORM,él,6D,6D,Pronombres sujeto,
MWU,a la derecha,6B,6B,MWU/chunk,
MWU,a la izquierda,6B,6B,MWU/chunk,
MWU,a mediodía,6B,6B,MWU/chunk,
MWU,a pie,6B,6B,MWU/chunk,
MWU,a veces,6B,6B,MWU/chunk,
MWU,agua con gas,6A,6A,MWU/chunk,
MWU,agua mineral,6A,6A,MWU/chunk,
MWU,agua sin gas,6A,6A,MWU/chunk,
MWU,aire acondicionado,6A,6A,MWU/chunk,
MWU,al este,6B,6B,MWU/chunk,
MWU,al final,6B,6B,MWU/chunk,
MWU,al lado,6B,6B,MWU/chunk,
MWU,al norte,6B,6B,MWU/chunk,
MWU,al oeste,6B,6B,MWU/chunk,
MWU,al sur,6B,6B,MWU/chunk,
MWU,alquilar un apartamento,6A,6A,MWU/chunk,
MWU,alquilar un piso,6A,6A,MWU/chunk,
MWU,ama de casa,6A,6A,MWU/chunk,
MWU,"así, así",6C,6C,MWU/chunk,
MWU,bien comunicado,6A,6A,MWU/chunk,
MWU,buenas noches,6C,6C,MWU/chunk,
MWU,buenas tardes,6C,6C,MWU/chunk,
MWU,buenos días,6C,6C,MWU/chunk,
MWU,café con leche,6A,6A,MWU/chunk,
MWU,café cortado,6A,6A,MWU/chunk,
MWU,café solo,6A,6A,MWU/chunk,
MWU,calefacción central,6A,6A,MWU/chunk,
MWU,calefacción individual,6A,6A,MWU/chunk,
MWU,cambiar dinero,6A,6A,MWU/chunk,
MWU,carné de conducir,6A,6A,MWU/chunk,
MWU,carné de identidad,6A,6A,MWU/chunk,
MWU,centro comercial,6A,6A,MWU/chunk,
MWU,clase de español,6A,6A,MWU/chunk,
MWU,clase de historia,6A,6A,MWU/chunk,
MWU,clase de matemáticas,6A,6A,MWU/chunk,
MWU,compañero de juego,6A,6A,MWU/chunk,
MWU,comprar un apartamento,6A,6A,MWU/chunk,
MWU,comprar un billete de ida,6A,6A,MWU/chunk,
MWU,comprar un billete de ida y vuelta,6A,6A,MWU/chunk,
MWU,comprar un piso,6A,6A,MWU/chunk,
MWU,correo electrónico,6A,6A,MWU/chunk,
MWU,creo que,6C,6C,MWU/chunk,
MWU,cuarto de baño,6A,6A,MWU/chunk,
MWU,código postal,6A,6A,MWU/chunk,
MWU,de acuerdo,6B,6B,MWU/chunk,
MWU,de dónde,6C,6C,MWU/chunk,
MWU,dedicarse a,6A,6A,MWU/chunk,
MWU,el fin de semana,6B,6B,MWU/chunk,
MWU,en autobús,6B,6B,MWU/chunk,
MWU,en avión,6B,6B,MWU/chunk,
MWU,en barco,6B,6B,MWU/chunk,
MWU,en coche,6B,6B,MWU/chunk,
MWU,en el centro,6B,6B,MWU/chunk,
MWU,en grupos,6A,6A,MWU/chunk,
MWU,en la mañana,6B,6B,MWU/chunk,
MWU,en la noche,6B,6B,MWU/chunk,
MWU,en la tarde,6B,6B,MWU/chunk,
MWU,en metro,6B,6B,MWU/chunk,
MWU,en parejas,6A,6A,MWU/chunk,
MWU,en tren,6B,6B,MWU/chunk,
MWU,escribir un mensaje electrónico,6A,6A,MWU/chunk,
MWU,escribir una carta,6A,6A,MWU/chunk,
MWU,escribir una postal,6A,6A,MWU/chunk,
MWU,escuchar la radio,6A,6A,MWU/chunk,
MWU,escuchar música,6A,6A,MWU/chunk,
MWU,escuchar una canción,6A,6A,MWU/chunk,
MWU,estación de autobuses,6A,6A,MWU/chunk,
MWU,estación de metro,6A,6A,MWU/chunk,
MWU,estación de tren,6A,6A,MWU/chunk,
MWU,estado civil,6A,6A,MWU/chunk,
MWU,estar abierto,6B,6B,MWU/chunk,
MWU,estar cerrado,6B,6B,MWU/chunk,
MWU,estar en paro,6A,6A,MWU/chunk,
MWU,estar enfermo,6A,6A,MWU/chunk,
MWU,estar malo,6A,6A,MWU/chunk,
MWU,está bien,6C,6C,MWU/chunk,
MWU,fecha de nacimiento,6A,6A,MWU/chunk,
MWU,guión bajo,6A,6A,MWU/chunk,
MWU,habitación con aire acondicionado,6A,6A,MWU/chunk,
MWU,habitación con baño,6A,6A,MWU/chunk,
MWU,habitación con televisión,6A,6A,MWU/chunk,
MWU,habitación con teléfono,6A,6A,MWU/chunk,
MWU,habitación doble,6A,6A,MWU/chunk,
MWU,habitación individual,6A,6A,MWU/chunk,
MWU,hacer buen tiempo,6A,6A,MWU/chunk,
MWU,hacer calor,6A,6A,MWU/chunk,
MWU,hacer deporte,6A,6A,MWU/chunk,
MWU,hacer ejercicio,6A,6A,MWU/chunk,
MWU,hacer frío,6A,6A,MWU/chunk,
MWU,hacer gimnasia,6A,6A,MWU/chunk,
MWU,hacer los deberes,6A,6A,MWU/chunk,
MWU,hacer mal tiempo,6A,6A,MWU/chunk,
MWU,hacer sol,6A,6A,MWU/chunk,
MWU,hacer un ejercicio,6A,6A,MWU/chunk,
MWU,hacer un examen,6A,6A,MWU/chunk,
MWU,hacer una actividad,6A,6A,MWU/chunk,
MWU,hacer viento,6A,6A,MWU/chunk,
MWU,hasta mañana,6C,6C,MWU/chunk,
MWU,"hola, ¿qué tal?",6C,6C,MWU/chunk,
MWU,ir a clase,6A,6A,MWU/chunk,
MWU,ir a la iglesia,6A,6A,MWU/chunk,
MWU,ir a la mezquita,6A,6A,MWU/chunk,
MWU,ir a la montaña,6A,6A,MWU/chunk,
MWU,ir a la playa,6A,6A,MWU/chunk,
MWU,ir a la sinagoga,6A,6A,MWU/chunk,
MWU,ir a un bar,6A,6A,MWU/chunk,
MWU,ir a un café,6A,6A,MWU/chunk,
MWU,ir a un concierto,6A,6A,MWU/chunk,
MWU,ir a un museo,6A,6A,MWU/chunk,
MWU,ir a un restaurante,6A,6A,MWU/chunk,
MWU,ir a una discoteca,6A,6A,MWU/chunk,
MWU,ir al cine,6A,6A,MWU/chunk,
MWU,ir al circo,6A,6A,MWU/chunk,
MWU,ir al hospital,6A,6A,MWU/chunk,
MWU,ir al médico,6A,6A,MWU/chunk,
MWU,ir al parque,6A,6A,MWU/chunk,
MWU,ir al teatro,6A,6A,MWU/chunk,
MWU,ir andando,6A,6A,MWU/chunk,
MWU,ir en autobús,6A,6A,MWU/chunk,
MWU,ir en avión,6A,6A,MWU/chunk,
MWU,ir en barco,6A,6A,MWU/chunk,
MWU,ir en coche,6A,6A,MWU/chunk,
MWU,ir en metro,6A,6A,MWU/chunk,
MWU,ir en taxi,6A,6A,MWU/chunk,
MWU,ir en tren,6A,6A,MWU/chunk,
MWU,jugar al baloncesto,6A,6A,MWU/chunk,
MWU,jugar al fútbol,6A,6A,MWU/chunk,
MWU,jugar al tenis,6A,6A,MWU/chunk,
MWU,lavarse el pelo,6A,6A,MWU/chunk,
MWU,lavarse la cara,6A,6A,MWU/chunk,
MWU,lavarse las manos,6A,6A,MWU/chunk,
MWU,lavarse los dientes,6A,6A,MWU/chunk,
MWU,leer el periódico,6A,6A,MWU/chunk,
MWU,leer un libro,6A,6A,MWU/chunk,
MWU,leer un periódico,6A,6A,MWU/chunk,
MWU,leer una revista,6A,6A,MWU/chunk,
MWU,llegar pronto,6B,6B,MWU/chunk,
MWU,llegar tarde,6B,6B,MWU/chunk,
MWU,llegar temprano,6B,6B,MWU/chunk,
MWU,lo siento,6C,6C,MWU/chunk,
MWU,lugar de nacimiento,6A,6A,MWU/chunk,
MWU,mal comunicado,6A,6A,MWU/chunk,
MWU,muchas gracias,6C,6C,MWU/chunk,
MWU,muy bien,6B,6B,MWU/chunk,
MWU,muy mal,6B,6B,MWU/chunk,
MWU,"más alto, por favor",6C,6C,MWU/chunk,
MWU,"más despacio, por favor",6C,6C,MWU/chunk,
MWU,más o menos,6B,6B,MWU/chunk,
MWU,no sé,6C,6C,MWU/chunk,
MWU,"no, gracias",6C,6C,MWU/chunk,
MWU,número de teléfono,6A,6A,MWU/chunk,
MWU,oficina de información,6A,6A,MWU/chunk,
MWU,oficina de información y turismo,6A,6A,MWU/chunk,
MWU,oficina de turismo,6A,6A,MWU/chunk,
MWU,pagar con tarjeta,6A,6A,MWU/chunk,
MWU,parada de autobús,6A,6A,MWU/chunk,
MWU,parada de metro,6A,6A,MWU/chunk,
MWU,parada de taxi,6A,6A,MWU/chunk,
MWU,parada de taxis,6A,6A,MWU/chunk,
MWU,por favor,6C,6C,MWU/chunk,
MWU,por la mañana,6B,6B,MWU/chunk,
MWU,por la noche,6B,6B,MWU/chunk,
MWU,por la tarde,6B,6B,MWU/chunk,
MWU,por qué,6C,6C,MWU/chunk,
MWU,primer plato,6A,6A,MWU/chunk,
MWU,página web,6A,6A,MWU/chunk,
MWU,sala de estar,6A,6A,MWU/chunk,
MWU,salir pronto,6B,6B,MWU/chunk,
MWU,salir tarde,6B,6B,MWU/chunk,
MWU,salir temprano,6B,6B,MWU/chunk,
MWU,segundo plato,6A,6A,MWU/chunk,
MWU,ser bonito,6A,6A,MWU/chunk,
MWU,ser bueno,6B,6B,MWU/chunk,
MWU,ser de,6B,6B,MWU/chunk,
MWU,ser difícil,6B,6B,MWU/chunk,
MWU,ser feo,6A,6A,MWU/chunk,
MWU,ser interesante,6A,6A,MWU/chunk,
MWU,ser malo,6B,6B,MWU/chunk,
MWU,ser posible,6B,6B,MWU/chunk,
MWU,ser pronto,6B,6B,MWU/chunk,
MWU,ser tarde,6B,6B,MWU/chunk,
MWU,ser temprano,6B,6B,MWU/chunk,
MWU,ser trabajador,6A,6A,MWU/chunk,
MWU,"silencio, por favor",6C,6C,MWU/chunk,
MWU,"sí, gracias",6C,6C,MWU/chunk,
MWU,"sí, pero",6C,6C,MWU/chunk,
MWU,"sí, soy yo",6C,6C,MWU/chunk,
MWU,"sí, sí",6C,6C,MWU/chunk,
MWU,tarjeta de crédito,6A,6A,MWU/chunk,
MWU,teléfono fijo,6A,6A,MWU/chunk,
MWU,teléfono móvil,6A,6A,MWU/chunk,
MWU,tener ascensor,6A,6A,MWU/chunk,
MWU,tener teléfono,6A,6A,MWU/chunk,
MWU,tener trabajo,6A,6A,MWU/chunk,
MWU,tener un examen,6A,6A,MWU/chunk,
MWU,tener vacaciones,6A,6A,MWU/chunk,
MWU,todo recto,6B,6B,MWU/chunk,
MWU,todos los días,6B,6B,MWU/chunk,
MWU,un poco,6B,6B,MWU/chunk,
MWU,vender un apartamento,6A,6A,MWU/chunk,
MWU,vender un piso,6A,6A,MWU/chunk,
MWU,ver la televisión,6A,6A,MWU/chunk,
MWU,ver una película,6A,6A,MWU/chunk,
MWU,viajar en avión,6A,6A,MWU/chunk,
MWU,viajar en barco,6A,6A,MWU/chunk,
MWU,vino blanco,6A,6A,MWU/chunk,
MWU,vino tinto,6A,6A,MWU/chunk,
MWU,vivir en un apartamento,6A,6A,MWU/chunk,
MWU,vivir en un piso,6A,6A,MWU/chunk,
MWU,vivir en una casa,6A,6A,MWU/chunk,
MWU,yo también,6C,6C,MWU/chunk,
MWU,yo tampoco,6C,6C,MWU/chunk,
MWU,¿puedes repetir?,6C,6C,MWU/chunk,
MWU,¿y tú?,6C,6C,MWU/chunk,
CONSTRUCTION,ser + nacionalidad,6B,6B,Construcción,
CONSTRUCTION,ser de Bali,6A,6A,Construcción,
CONSTRUCTION,ser de Laos,6A,6A,Construcción,
CONSTRUCTION,ser de Mozambique,6A,6A,Construcción,
CONSTRUCTION,tener + número cardinal + meses/años,6B,6B,Construcción,
CONSTRUCTION,tener [número cardinal] años,6A,6A,Construcción,
CONSTRUCTION,tener muchos años,6A,6A,Construcción,
CONSTRUCTION,tener pocos años,6A,6A,Construcción,
FUNCTIONAL_FRAME,creer que + oración,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,el / un + SN + por favor,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,este / ese / aquel + ser + SN,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,este / ese / aquel + sustantivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,este es + nombre de pila,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,gustar + SN / infinitivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,hasta + día de la semana,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,hola + nombre de pila,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,mi + sustantivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,opinión + ¿y tú?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,para + infinitivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,porque + oración,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,preferir + SN / infinitivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,presente de indicativo + marcador temporal futuro,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,querer + SN / infinitivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,ser + (muy / bastante / un poco) + adjetivo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,señor / señora + apellido,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,soy / me llamo + nombre / profesión,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,sí / no + repetición o corrección del enunciado previo,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿(quieres) un / una + SN?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿... o ...?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿a qué + dedicarse?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿cuál + ser + SN?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿cuánto + sustantivo / verbo?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿cómo + llamarse?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿de dónde + ser?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿dónde + verbo?,6C,6C,Marco funcional,
FUNCTIONAL_FRAME,¿quién es?,6C,6C,Marco funcional,
SERIES_CLASS,día de la semana,6B,6B,Serie/clase productiva,
SERIES_CLASS,estación del año,6B,6B,Serie/clase productiva,
SERIES_CLASS,hora,6B,6B,Serie/clase productiva,
SERIES_CLASS,mes,6B,6B,Serie/clase productiva,
SERIES_CLASS,números cardinales,6B,6B,Serie/clase productiva,
SERIES_CLASS,números ordinales hasta 10.º,6B,6B,Serie/clase productiva,
NAMED_ENTITY_EXAMPLE,Bali,6A,6A,Nombre propio de ejemplo,
NAMED_ENTITY_EXAMPLE,Laos,6A,6A,Nombre propio de ejemplo,
NAMED_ENTITY_EXAMPLE,Madrid,6A,6A,Nombre propio de ejemplo,
NAMED_ENTITY_EXAMPLE,Mozambique,6A,6A,Nombre propio de ejemplo,
ABBREVIATION,Sr.,6D,6D,Tratamiento,
ABBREVIATION,Sra.,6D,6D,Tratamiento,
